VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF0379b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0379d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
Dislikes_DemParty  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. RF; NA'}
VCF0381a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0381b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0381c  {9987.0: '9987. DK much about party', 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0381d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
VCF0382b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0382d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0383b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0383d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0384b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0384d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0385b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0385d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
Likes_RepParty  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. RF; NA'}
VCF0387a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0387b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0387c  {9987.0: '9987. DK much about party', 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0387d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
VCF0388b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0388d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0389b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0389d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0390b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0390d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0391b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0391d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
Dislikes_RepParty  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. RF; NA'}
VCF0393a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0393b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0393c  {9987.0: '9987. DK much about party', 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0393d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
VCF0394b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0394d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0395b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0395d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0396b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0396d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
VCF0397b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0397d  {1.0: '01. People within party', 2.0: '02. Government management', 3.0: '03. Government activity, government philosophy', 4.0: '04. Domestic policies, welfare and economic', 5.0: '05. Domestic policies, other', 6.0: '06. Foreign policy', 7.0: '07. Bad for/anti/keep in check/cease favoring group or interest', 8.0: '08. Good for/better for/help to/made up of/fair to group or interest', 9.0: '09. General party attitudes/responses', 10.0: '10. Other'}
Likes_DemCand  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four positive mentions (likes)', 5.0: '5. Five positive mentions (likes)', 9.0: '9. No Pre IW; form II (1972); abbrev. IW form'}
Dislikes_DemCand  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four negative mentions (dislikes)', 5.0: '5. Five negative mentions (dislikes)', 9.0: '9. No Pre IW; form II (1972); abbrev. IW form'}
Affect_DemCand  {-5.0: '-5. Maximum negative', 0.0: '0. Neutral', 5.0: '+5. Maximum positive', 99.0: '99. No Pre IW; form II (1972); abbrev. IW form'}
Salience_DemCand  {0.0: '0. Zero mentions', 10.0: '10. Ten mentions', 99.0: '99. No Pre IW; form II (1972); abbrev. IW form'}
Likes_RepCand  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four positive mentions (likes)', 5.0: '5. Five positive mentions (likes)', 9.0: '9. No Pre IW; form II (1972); abbrev. IW form'}
Dislikes_RepCand  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four negative mentions (dislikes)', 5.0: '5. Five negative mentions (dislikes)', 9.0: '9. No Pre IW; form II (1972); abbrev. IW form'}
Affect_RepCand  {-5.0: '-5. Maximum negative', 0.0: '0. Neutral', 5.0: '+5. Maximum positive', 99.0: '99. No Pre IW; form II (1972); abbrev. IW form'}
Salience_RepCand  {0.0: '0. Zero mentions', 10.0: '10. Ten mentions', 99.0: '99. No Pre IW; form II (1972); abbrev. IW form'}
Affect_PreCand  {-10.0: '-10. Maximum Republican', 0.0: '0. Neutral', 10.0: '+10. Maximum Democratic', 999.0: '999. No Pre IW; form II (1972)'}
Salience_PreCand  {0.0: '0. Zero mentions', 20.0: '20. Twenty mentions', 99.0: '99. No Pre IW; form II (1972); abbrev. IW form'}
Relative_Salie_PreCand  {-10.0: '-10. Ten Republican mentions, no Democratic', 0.0: '0. No mentions', 10.0: '+10. Ten Democratic mentions, no Republican', 999.0: '999. No Pre IW; form II (1972); abbrev. IW form'}
therm_avg_preCand  {98.0: "98. DK/don't recognize in VCF0424 or VCF0426", 99.0: '99. NA'}
therm_index_preCand  {2.0: '2. Most Republican', 50.0: '50. Neutral', 99.0: '99. Most Democratic', 998.0: "998. DK/don't recognize in VCF0424 or VCF0426", 999.0: '999. NA'}
VCF0414  {98.0: "98. DK/don't recognize in VCF0425 or VCF0427", 99.0: '99. NA'}
VCF0415  {2.0: '2. Most Republican', 50.0: '50. Neutral', 99.0: '99. Most Democratic', 998.0: "998. DK/don't recognize in VCF0425 or VCF0427", 999.0: '999. NA'}
therm_DemPreCand  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA; no Post IW'}
therm_DemVicePreCand  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA; no Post IW'}
therm_RepPreCand  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA; no Post IW'}
therm_RepVicePreCand  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA; no Post IW'}
therm_President  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA; no Post IW'}
therm_VicePresident  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1980 and later)", 99.0: '99. NA'}
VCF0432  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc.1968)', 99.0: '99. NA; no Post IW'}
VCF0433  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1980 and later)", 99.0: '99. NA'}
VCF0434  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc.1968)', 99.0: '99. NA; no Post IW'}
VCF0435  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1980 and later)", 99.0: '99. NA'}
VCF0436  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1978 and later)", 99.0: '99. NA'}
VCF0437  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc.1968)', 99.0: '99. NA; no Post IW'}
VCF0438  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA; no Post IW'}
VCF0439  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1978 and later)", 99.0: '99. NA; no Post IW'}
VCF0440  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc.1968)', 99.0: '99. NA; no Post IW'}
VCF0441  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1978 and later)", 99.0: '99. NA'}
VCF0442  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1978 and later)", 99.0: '99. NA; no Post IW'}
VCF0443  {97.0: '97. 97-100 Degrees', 98.0: "98. DK (exc.1968); don't recognize (1978 and later)", 99.0: '99. NA; no Post IW'}
VCF0444  {97.0: '97. 97-100 Degrees', 98.0: '98. DK (exc.1968)', 99.0: '99. NA; no Post IW'}
VCF0445  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1984,1986,1988,1994,1996)", 99.0: '99. NA'}
VCF0446  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1978 and later)", 99.0: '99. NA; no Post IW'}
VCF0447  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
VCF0448  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
VCF0449  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
approve_pres  {0.0: '0. NA; form II (1972)', 1.0: '1. Approve', 2.0: '2. Disapprove', 8.0: '8. DK'}
approve_pres_strength  {0.0: '0. NA; form II (1972)', 1.0: '1. Approve, strongly', 2.0: '2. Approve, not strongly', 3.0: '3. Disapprove, not strongly', 4.0: '4. Disapprove, strongly', 8.0: '8. DK'}
therm_HillaryClinton  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
VCF0472  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
VCF0473  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize", 99.0: '99. NA'}
VCF0475  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA'}
VCF0476a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF0476b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF0476c  {9987.0: "9987. Don't know much about candidate", 9988.0: '9988. DK (mention 1 only)', 9989.0: '9989. RF; NA (mention 1 only)'}
VCF0476d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other', 87.0: "87. Don't know much about party/candidate; not involved in", 89.0: '89. DK; RF; NA (mention 1 only)'}
VCF0477b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF0477d  {21.0: '21. Experience and abilities', 22.0: '22. Character and background', 23.0: '23. Personal attraction', 24.0: '24. Issues - NA whether domestic or foreign', 25.0: '25. Stand on domestic policies', 26.0: '26. Stand on foreign affairs', 27.0: '27. Bad for/anti/keep in check/cease favoring group or interest', 28.0: '28. Good for/better for/help to/made up of/fair to group or interest', 29.0: '29. Candidate as party representative*', 30.0: '30. Other'}
