,column_name
State/Local Vote Straight Ticker or Split 5-Category,VCF0715
State/Local Vote Straight Ticker or Split 2-Category,VCF0716
Respondent Try to Influence the Vote of Others During the Campaign,VCF0717
Respondent Attend Political Meetings/Rallies During the Campaign,VCF0718
Respondent Work for Party or Candidate During the Campaign,VCF0719
Respondent Display Candidate Button/Sticker During the Campaign,VCF0720
Respondent Donate Money to Party or Candidate During the Campaign,VCF0721
Has Respondent Ever Written a Letter to a Public Official,VCF0722
Count of Campaign Participation Activities 6-Category,VCF0723
Count of Campaign Participation Activities 4-Category,VCF0723a
Watch TV Programs about the Election Campaigns,VCF0724
Hear Programs about Campaigns on the Radio 2-Category,VCF0725
Articles about Election Campaigns in Magazines,VCF0726
Number of Articles about Election Campaigns in Magazines,VCF0727
Count of Media Exposure Types,media_type_count
Party with House Majority Before the Election,House_majority_preElection
Party with House Majority After the Election,House_majority_postElection
Respondent Discuss Politics with Family and Friends,discuss_Politics
How Often Respondent Discusses Politics with Family and Friends,often_discuss_politics
How Often in the Last Week Respondent Discussed Politics,VCF0733
Intended Presidential Vote versus Actual Presidential Vote,intend_v_actual_presVote
Vote for U.S. House- Candidate Code,voted_houseCand
Vote for U.S. House- Party,voted_houseParty
Registered to Vote Post-Election,registered_PostElection
Party of Registration Post-election,partyRegistration_PostElection
Party of Registration Pre-election,partyRegistration_PreElection
Respondent Made $1 Tax Checkoff for Political Contribution,contribution_1USD
Contribute to Political Party During the Campaigns,contribute_party
Contribute to PAC During the Campaigns,contribute_PAC
Give Money to Individual Candidate During the Campaigns,contribute_candidate
Does R Belong to Political Organization or Club,political_organization
Have Access to Internet,access_internet
Saw Election Campaign Information on the Internet,VCF0745
Did Religious/Moral Group Try to Influence Respondent Vote,VCF0746
Information about Candidates/Parties/Issues at Church,VCF0747
Voted on Election Day or Before,voted_electionDay_orB4
How Long Before Election Did Respondent Vote,howLong_votedbefore
Vote in Person Or with Absentee Ballot,voted_inPerson
Thermometer Index - Rating of Liberals and Conservatives,VCF0801
Liberal-Conservative Scale,ideology7
Liberal-Conservative Scale 1972- COLLAPSED,VCF0804
Government Assistance with Medical Care,VCF0805
Government Health Insurance Scale,VCF0806
Guaranteed Jobs and Income,VCF0808
Guaranteed Jobs and Income Scale,VCF0809
Urban Unrest Scale,urban_unrest
How Much Has the Position of Blacks Changed,Black_positions_changed
Civil Rights Pushes Too Fast or Not Fast Enough,civil_rights_push
Segregation or Desegregation,VCF0815
Should Government Ensure School Integration,VCF0816
School Busing Scale,VCF0817
Should Government Ensure Fair Jobs/Housing for Blacks,VCF0818
Open Housing,VCF0819
Do Whites in the Area Favor Segregation,VCF0820
Do Blacks in the Area Favor Desegregation,VCF0821
Rating of Government Economic Policy,VCF0822
Better off if U.S. Unconcerned with Rest of World,US_restWorld
If Compelled to Choose Liberal or Conservative,VCF0824
How Likely for U.S. to be at War/in Bigger War,VCF0825
Did U.S. Do Right Thing Getting Involved in War,VCF0826
How Should U.S. Proceed in Current War,VCF0827
U.S. Stand in Vietnam Scale,VCF0827a
Should Government Cut Military Spending,military_spendingCut
Is the Government in Washington Too Strong,Federal_Government_strong
Aid to Blacks Scale,aid_Blacks
Rights of the Accused Scale,rights_accused
Favor or Oppose Equal Rights Amendment,ERA
Women Equal Role Scale,women_equalRole
Should Women Stay out of Politics,women_politics
When Should Abortion Be Allowed,when_abortion_allowed
"By Law, When Should Abortion Be Allowed",legalize_abortion
Government Services-Spending Scale,government_service
Favor or Oppose Term Limits,term_limit
Cooperation with U.S.S.R. Scale,VCF0841
Environmental Regulation Scale,envirnmental_regulation
Defense Spending Scale,defense_spending
How Willing Should U.S. Be to Use Military Force,US_military_force
Authority of the Bible 1964-1990,bible_authority_pre1990
Is Religion Important to Respondent,religion_important
How Much Guidance from Religion,religious_guidance
Concern about Conventional War,concern_war
Concern about Nuclear War,concern_nuclear_war
Liberal-Conservative Position 1984- COLLAPSED,ideology3
Authority of the Bible 1984-,bible_authority
Newer Lifestyles Contribute to Society Breakdown,new_lifestyle_problem
Should Adjust View of Moral Behavior to Changes,moral_view_adjustment
Should be More Emphasis on Traditional Values,moral_on_traditionalValue
Tolerance of Different Moral Standards,tolerance_differentMoral
Racial Composition of Neighborhood- Respondent Description,racial_composition_nbhood
Racial Composition of Grade School- Respondent Description,racial_composition_gradeSchool
Racial Composition of Junior High School,racial_composition_juniorHigh
Racial Composition of High School- Respondent Description,racial_composition_highSchool
Racial Composition of Work Place- Respondent Description,racial_composition_work
Racial Composition of Where R Shops- Respondent Description,racial_composition_shops
Racial Composition of Friends,racial_composition_friends
Affirmative Action in Hiring/Promotion [1 of 2],affirmativeActionPosition
Affirmative Action in Hiring/Promotion [2 of 2],affirmativeActionStrength
Better or Worse Economy in Past Year,economy_PastYear
How Much Better or Worse Economy in Past Year,howMuch_conomy_PastYear
Better or Worse Economy in Next Year,economy_NextYear
Did R Delay Medical/Dental Treatment Due to the Expense,VCF0873
Mention 1: What is the Most Important National Problem,VCF0875
Mention 2: What is the Most Important National Problem,VCF0875a
Mention 3: What is the Most Important National Problem,VCF0875b
Law to Protect Homosexuals Against Discrimination,law_against_gay_discrimination
Strength of Position on Law to Protect Homosexuals Against Discrimination,strength_gay_discrimination_law
Favor or Oppose Gays in the Military,gay_military
Strength of Position on Gays in the Military,strength_gay_military_attitude
Should Gays/Lesbians Be Able to Adopt Children,gay_adoption
Increase or Decrease Number of Immigrants to U.S. 6-Category,VCF0879
Increase or Decrease Number of Immigrants to U.S. 4-Category,VCF0879a
Better or Worse Off in Past Year,VCF0880
How Much Better/Worse Off in Past Year,VCF0880a
Financial Situation Better/Worse in Past Few Years,VCF0880b
Better or Worse Off in Next Year,VCF0881
Federal Spending- Poor/Poor People,VCF0886
Federal Spending- Child Care,VCF0887
Federal Spending- Dealing with Crime,VCF0888
Federal Spending- Aids Research/Fight Aids,VCF0889
Federal Spending- Public Schools,VCF0890
Federal Spending- Fin Aid for College Students,VCF0891
Federal Spending- Foreign Aid,VCF0892
Federal Spending- The Homeless,VCF0893
Federal Spending- Welfare Programs,VCF0894
Congressional District of Residence,VCF0900
State and Congressional District- FIPS,VCF0900b
State and Congressional District- Postal Abbrev and CD,VCF0900c
State Code- FIPS,State_FIPS
State Postal Abbrev,State
Type of U.S. House Race,VCF0902
Is House Incumbent Running,VCF0903
Is House Incumbent Opposed,CD_incumbent
Number of Candidates in U.S. House Race,number_houseCand
Thermometer - Democratic House Candidate,therm_houseDemCand
Thermometer - Republican House Candidate,therm_houseRepCand
Thermometer - Incumbent House Candidate,therm_houseIncumbent
Thermometer - Challenger House Candidate,therm_houseChallenger
Contact with Running U.S. House Incumbent,contact_houseIncumbent
Running U.S. House Incumbent: Met Him,houseIncumbent_met
Running U.S. House Incumbent: Attended Meeting,houseIncumbent_attendMet
Running U.S. House Incumbent: Talked to Staff,houseIncumbent_talkedStaff
Running U.S. House Incumbent: Received Mail,houseIncumbent_recevMail
Running U.S. House Incumbent: Read About,houseIncumbent_ReadAbout
Running U.S. House Incumbent: Heard on Radio,houseIncumbent_HeardonRadio
Running U.S. House Incumbent: Saw on TV,houseIncumbent_SawTv
Know Anyone Who had Contact with Running U.S. House Incumbent,houseIncumbent_contactedbyKnown
Challenger to Running U.S. House Incumbent,VCF0919
Challenger to U.S. House Running Incumbent: Met Him,VCF0920
Challenger to U.S. House Running Incumbent: Attended Meeting,VCF0921
Challenger to U.S. House Running Incumbent: Talked to Staff,VCF0922
Challenger to U.S. House Running Incumbent: Received Mail,VCF0923
Challenger to U.S. House Running Incumbent: Read About,VCF0924
Challenger to U.S. House Running Incumbent: Heard on Radio,VCF0925
Challenger to U.S. House Running Incumbent: Saw on TV,VCF0926
Know Anyone Who had Contact with Challenger to Running U.S. House Incumbent,VCF0927
Contact with U.S. House Democratic Cand,VCF0928
U.S. House Democratic Cand: Met Him,VCF0929
U.S. House Democratic Cand: Attended Meeting,VCF0930
U.S. House Democratic Cand: Talked to Staff,VCF0931
U.S. House Democratic Cand: Received Mail,VCF0932
U.S. House Democratic Cand: Read About,VCF0933
U.S. House Democratic Cand: Heard on Radio,VCF0934
U.S. House Democratic Cand: Saw on TV,VCF0935
Know Anyone Who had Contact with U.S. House Democratic Cand,VCF0936
Contact with U.S. House Republican Cand,VCF0937
U.S. House Republican Cand: Met Him,VCF0938
U.S. House Republican Cand: Attended Meeting,VCF0939
U.S. House Republican Cand: Talked to Staff,VCF0940
U.S. House Republican Cand: Received Mail,VCF0941
U.S. House Republican Cand: Read About,VCF0942
U.S. House Republican Cand: Heard on Radio,VCF0943
U.S. House Republican Cand: Saw on TV,VCF0944
Know Anyone Who had Contact with U.S. House Republican Cand,VCF0945
Count of Contact Types- Running U.S. House Incumbent Cand,VCF0946
Yes/No Any Contact with Running U.S. House Incumbent Cand,VCF0946a
Count of Contact Types- Challenger to Running U.S. House Incumbent Cand,VCF0947
Yes/No Any Contact with Challenger to Running U.S. House Incumbent Cand,VCF0947a
Count of Contact Types- U.S. House Democratic Cand,VCF0948
Yes/No Any Contact with U.S. House Democratic Cand,VCF0948a
Count of Contact Types- U.S. House Republican Cand,VCF0949
Yes/No Any Contact with U.S. House Republican Cand,VCF0949a
Contacted Running U.S. House Incumbent,VCF0950
Contacted Running U.S. House Incumbent to Express Opinion,VCF0951
Contacted Running U.S. House Incumbent to Seek Information,VCF0952
Contacted Running U.S. House Incumbent to Seek Help,VCF0953
Response to Contact with Running U.S. House Incumbent,VCF0954
Satisfied w/Response from Running U.S. House Incumbent,VCF0955
Know Anyone (Else) Who Contacted Running U.S. House Incumbent,VCF0956
Other Person Get Response from Running U.S. House Incumbent,VCF0957
Other Person Satisfied w/Response from Running U.S. House Incumbent,VCF0958
Would Running U.S. House Incumbent be Helpful with Problem,VCF0959
Running U.S. House Incumbent Done Anything Special for District,VCF0960
Contacted Running or Retiring U.S. House Incumbent,VCF0961
Contacted Running or Retiring U.S. House Incumbent to Express Opinion,VCF0962
Contacted Running or Retiring U.S. House Incumbent to Seek Information,VCF0963
Contacted Running or Retiring U.S. House Incumbent to Seek Help,VCF0964
Response to Contact with Running or Retiring U.S. House Incumbent,VCF0965
Satisfied w/Response from Running or Retiring U.S. House Incumbent,VCF0966
Know Anyone (Else) Who Contacted Running or Retiring U.S. House Incumbent,VCF0967
Other Person Get Response from Running or Retiring U.S. House Incumbent,VCF0968
Other Person Satisfied with Response fr Running/Retiring U.S. House Incumbent,VCF0969
Would Running or Retiring U.S. House Incumbent be Helpful with Problem,VCF0970
Running or Retiring U.S. House Incumbent Done Anything Special for District,VCF0971
Recall Names of U.S. House Candidates,VCF0972
Recall Correct Name of U.S. House Candidate,VCF0975
Number of Recalled Names of U.S. House Candidates,VCF0976
Know If One U.S. House Candidate Was Already in the U.S. House,VCF0977
Correct Whether a U.S. House Candidate Was Already in Office,VCF0978
Democratic U.S. House Cand: Respondent Likes - Number of Mentions,VCF0980
Democratic U.S. House Cand: Respondent Dislikes - Number of Mentions,VCF0981
Democratic U.S. House Candidate Affect (Likes-Dislikes),VCF0982
Democratic U.S. House Candidate Salience (Likes-Dislikes),VCF0983
Republican U.S. House Cand: Respondent Likes - Number of Mentions,VCF0984
Republican U.S. House Cand: Respondent Dislikes - Number of Mentions,VCF0985
Republican U.S. House Cand: Affect (Likes-Dislikes),VCF0986
Republican U.S. House Cand: Salience (Likes-Dislikes),VCF0987
Republican U.S. House Candidate Affect (Likes-Dislikes),VCF0988
U.S. House Candidate Salience (Likes-Dislikes),VCF1002
U.S. House Candidate Relative Salience (Likes-Dislikes),VCF1003
Approve/Disapprove of Running U.S. House Incumbent,VCF0991
Approve/Disapprove of U.S. Congress,VCF0992
Incumbent U.S. House Cand: Respondent Likes - Number of Mentions,VCF0993
Incumbent U.S. House Cand: Respondent Dislikes - Number of Mentions,VCF0994
Incumbent U.S. House Cand: Affect (Likes-Dislikes),VCF0995
Incumbent U.S. House Cand: Salience (Likes-Dislikes),VCF0996
Challenger to Incum U.S. House Cand: Respondent Likes - Number of Mentions,VCF0997
Challenger to Incum U.S. House Cand: Respondent Dislikes - Number of Mentions,VCF0998
Challenger to Incumbent U.S. House Cand: Affect (Likes-Dislikes),VCF0999
Challenger to Incumbent U.S. House Cand: Salience (Likes-Dislikes),VCF1000
U.S. House Candidate Affect (Likes-Dislikes),VCF1001
Party of Respondent/Party of U.S. House Incumbent from district of IW,VCF1004
Party of Voter Respondent/ Party of U.S. House Incumbent,VCF1005
Candidate Code of Correctly Recalled U.S. House Candidate from IW district,VCF1008
Party of Recalled U.S. House Candidate Name(s) from district of IW,VCF1009
Is Recalled U.S. House Cand Name From Own Party,VCF1010
Respondent Vote for U.S. House Candidate From Own Party in district of IW,VCF1011
Respondent Vote for Incumbent U.S. House Candidate in district of IW,VCF1012
Respondent Vote for Winning U.S. House Candidate in district of IW,VCF1013
Winning U.S. House Candidate in district of IW,VCF1014
Number of Days Pre-Election IW Conducted Before Election,VCF1015
Number of Days Post-Election IW Conducted After Election,VCF1016
Thermometer Average - U.S. House Candidates,thermometer_avg_houseCandidate
Thermometer Index - U.S. House Candidats,thermometer_index_houseCandidate
Likes anything about Democratic U.S. House Cand,like_House_Dem_can
1972-2004 Mention 1: Like About Democratic U.S. House Cand,VCF1021a
1972-2004 Mention 1: Like About Democratic U.S. House Cand COLLAPSED,VCF1021b
1972-2004 Mention 2: Like About Democratic U.S. House Cand,VCF1022a
1972-2004 Mention 2: Like About Democratic U.S. House Cand COLLAPSED,VCF1022b
1972-2004 Mention 3: Like About Democratic U.S. House Cand,VCF1023a
1972-2004 Mention 3: Like About Democratic U.S. House Cand COLLAPSED,VCF1023b
1972-2004 Mention 4: Like About Democratic U.S. House Cand,VCF1024a
1972-2004 Mention 4: Like About Democratic U.S. House Cand COLLAPSED,VCF1024b
1972-2004 Mention 5: Like About Democratic U.S. House Cand,VCF1025a
1972-2004 Mention 5: Like About Democratic U.S. House Cand COLLAPSED,VCF1025b
Dislikes anything about Democratic U.S. House Cand,VCF1026
1972-2004 Mention 1: Dislike About Democratic U.S. House Cand,VCF1027a
1972-2004 Mention 1: Dislike About Democratic U.S. House Cand COLLAPSED,VCF1027b
1972-2004 Mention 2: Dislike About Democratic U.S. House Cand,VCF1028a
1972-2004 Mention 2: Dislike About Democratic U.S. House Cand COLLAPSED,VCF1028b
1972-2004 Mention 3: Dislike About Democratic U.S. House Cand,VCF1029a
1972-2004 Mention 3: Dislike About Democratic U.S. House Cand COLLAPSED,VCF1029b
1972-2004 Mention 4: Dislike About Democratic U.S. House Cand,VCF1030a
1972-2004 Mention 4: Dislike About Democratic U.S. House Cand COLLAPSED,VCF1030b
1972-2004 Mention 5: Dislike About Democratic U.S. House Cand,VCF1031a
1972-2004 Mention 5: Dislike About Democratic U.S. House Cand COLLAPSED,VCF1031b
Likes anything about Republican U.S. House Cand,VCF1032
1972-2004 Mention 1: Like About Republican U.S. House Cand,VCF1033a
1972-2004 Mention 1: Like About Republican U.S. House Cand COLLAPSED,VCF1033b
1972-2004 Mention 2: Like About Republican U.S. House Cand,VCF1034a
1972-2004 Mention 2: Like About Republican U.S. House Cand COLLAPSED,VCF1034b
1972-2004 Mention 3: Like About Republican U.S. House Cand,VCF1035a
1972-2004 Mention 3: Like About Republican U.S. House Cand COLLAPSED,VCF1035b
1972-2004 Mention 4: Like About Republican U.S. House Cand,VCF1036a
1972-2004 Mention 4: Like About Republican U.S. House Cand COLLAPSED,VCF1036b
1972-2004 Mention 5: Like About Republican U.S. House Cand,VCF1037a
1972-2004 Mention 5: Like About Republican U.S. House Cand COLLAPSED,VCF1037b
Dislikes anything about Republican U.S. House Cand,VCF1038
1972-2004 Mention 1: Dislike About Republican U.S. House Cand,VCF1039a
1972-2004 Mention 1: Dislike About Republican U.S. House Cand COLLAPSED,VCF1039b
1972-2004 Mention 2: Dislike About Republican U.S. House Cand,VCF1040a
1972-2004 Mention 2: Dislike About Republican U.S. House Cand COLLAPSED,VCF1040b
1972-2004 Mention 3: Dislike About Republican U.S. House Cand,VCF1041a
1972-2004 Mention 3: Dislike About Republican U.S. House Cand COLLAPSED,VCF1041b
1972-2004 Mention 4: Dislike About Republican U.S. House Cand,VCF1042a
1972-2004 Mention 4: Dislike About Republican U.S. House Cand COLLAPSED,VCF1042b
1972-2004 Mention 5: Dislike About Republican U.S. House Cand,VCF1043a
1972-2004 Mention 5: Dislike About Republican U.S. House Cand COLLAPSED,VCF1043b
Length of Residence in Community,length_residence_community
Length of Residence in Home,length_residence_home
Thermometer - Evangelical Groups,thermometer_evangelical
Thermometer - Elderly,thermometer_elderly
Thermometer - Supreme Court,thermometer_supremeCourt
Thermometer - Women,thermometer_women
Thermometer - Jesse Jackson,thermometer_JesseJackson
Which Party Would Best Handle Pollution and Protecting Environment,party_preference_environment
Approve of President Performance on Economy,approve_president_economy
Which Would Best Handle Inflation,VCF9010
Which Would Best Handle Unemployment,VCF9011
Which Party Would Best Handle Most Important Problem,party_handle_problem
Society Ensure Equal Opportunity to Succeed,equality1
We Have Gone Too Far Pushing Equal Rights,equality2
Big Problem that Not Everyone Has Equal Chance,equality3
Not Big Problem if Some Have More Chance in Life,equality4
Should Worry less about How Equal People Are,equality5
U.S. Fewer Problems if Everyone Treated Equally,equality6
Most Desirable Goal for the Nation: #1,VCF9019
Most Desirable Goal for the Nation: #2,VCF9020
Did Anyone Talk to R about Voting or Registering,VCF9021
Voter Strength of Preference- Presidential Cand,VCF9022
Nonvoter Preference- Presidential Cand,VCF9023
Voter Strength of Preference- U.S. House Cand,VCF9024
Vote for Governor- Party,VCF9025
Vote in Presidential year Primary- Party,VCF9026
Vote in Previous Presidential Election - Party,VCF9027
Which Presidential Candidate Will Win in State,VCF9028
Which Presidential Race in State Be Close,VCF9029
Contacted By Which Major Party,VCF9030
Contacted By Any Major Party,VCF9030a
Contacted By Democratic Party,VCF9030b
Contacted By Republican Party,VCF9030c
Contacted By Anyone Other than Parties,VCF9031
Hear Programs about Campaigns on the Radio 4-Category,VCF9032
Number of Days Read Newspaper in Last Week,VCF9033
Read Daily Newspaper,VCF9034
Number of Days Watched National TV News in Past Week,VCF9035
Party with Senate Majority Before the Election,VCF9036
Government Should Ensure Fair Jobs for Blacks,VCF9037
Guaranteed Equal Opportunity Is Not Government Job,VCF9038
Conditions Make it Difficult for Blacks to Succeed,VCF9039
Blacks Should Not Have Special Favors to Succeed,VCF9040
Blacks Must Try Harder to Succeed,VCF9041
Blacks Gotten Less than They Deserve Over the Past Few Years,VCF9042
School Prayer Allowed 4-Category,VCF9043
Strength of Opinion When School Prayer Allowed 4-Category,VCF9043a
Effect of Federal Economic Policies 7-Category,VCF9044
Effect of Federal Economic Policies 3-Category,VCF9044a
Position of the U.S. Weaker/Stronger in the Past Year,VCF9045
Federal Spending- Food Stamps,VCF9046
Federal Spending- Improve and Protect the Environment,VCF9047
Federal Spending- Space/Science/Technology,VCF9048
Federal Spending- Social Security,VCF9049
Federal Spending- Assistance to Blacks,VCF9050
School Prayer Allowed 2-Category,VCF9051
Are Things in U.S. Going Well or Not,VCF9052
Income Kept Up with Costs in Last Year,VCF9053
Senate Race in State,VCF9054
Type of U.S. Senate Race,VCF9055
Thermometer - Senate Democratic Candidate,VCF9056
Thermometer - Senate Republican Candidate,VCF9057
Thermometer - Senate Incumbent Candidate,VCF9058
Thermometer - Senate Challenger,VCF9059
Thermometer - Senator in State with Senate Race,VCF9060
Thermometer - Senator 1 in State with No Senate Race),VCF9061
Thermometer - Senator 2 in State with No Senate Race),VCF9062
Recall Names of U.S. Senate Candidates,VCF9063
Recall Correct Name of U.S. Senate Candidate,VCF9066
Number of Recalled Names of U.S. Senate Candidates,VCF9067
Strength Approve/Disapprove Running U.S. House Incumbent,VCF9069
Agreement w/ Running House Incumbent's Legislative Votes,VCF9070
Remember Running U.S. House Incumbent Vote on Any Bill,VCF9071
Agree With Running U.S. House Incumbent Vote on Bill,VCF9072
President on Defense Spending Scale,VCF9073
President on Cooperation with USSR Scale,VCF9074
President on Women's Equal Role Scale,VCF9075
President on Aid to Blacks Scale,VCF9076
President on Government Health Insurance Scale,VCF9077
President on Government Spending/Services Scale,VCF9078
President on Guaranteed Jobs and Living Scale,VCF9079
President on Liberal-Conservative Scale,VCF9080
Democratic Presidential Cand- Defense Spending Scale,VCF9081
Democratic Presidential Cand- Cooperation with U.S.S.R. Scale,VCF9082
Democratic Presidential Cand- Women Equal Role Scale,VCF9083
Democratic Presidential Cand- Aid to Blacks Scale,VCF9084
Democratic Presidential Cand- Government Health Insurance Scale,VCF9085
Democratic Presidential Cand- Government Services-Spending Scale,VCF9086
Democratic Presidential Cand- Guaranteed Jobs and Living Scale,VCF9087
Democratic Presidential Cand- Liberal-Conservative Scale,VCF9088
Republican Presidential Cand- Defense Spending Scale,VCF9089
Republican Presidential Cand- Cooperation with U.S.S.R. Scale,VCF9090
Republican Presidential Cand- Women Equal Role Scale,VCF9091
Republican Presidential Cand- Aid to Blacks Scale,VCF9092
Republican Presidential Cand- Government Health Insurance Scale,VCF9093
Republican Presidential Cand- Government Services-Spending Scale,VCF9094
Republican Presidential Cand- Guaranteed Jobs and Living Scale,VCF9095
Republican Presidential Cand- Liberal-Conservative Scale,VCF9096
Democratic U.S. House Cand- Women Equal Role Scale,VCF9097
Democratic U.S. House Cand- Aid to Blacks Scale,VCF9098
Democratic U.S. House Cand- Government Services-Spending Scale,VCF9099
Democratic U.S. House Cand- Guaranteed Jobs and Living Scale,VCF9100
Democratic U.S. House Cand- Liberal-Conservative Scale,VCF9101
Republican U.S. House Cand- Women Equal Role Scale,VCF9102
Republican U.S. House Cand- Aid to Blacks Scale,VCF9103
Republican U.S. House Cand- Government Services-Spending Scale,VCF9104
Republican U.S. House Cand- Guaranteed Jobs and Living Scale,VCF9105
Republican U.S. House Cand- Liberal-Conservative Scale,VCF9106
Incumbent U.S. House Cand- Women Equal Role Scale,VCF9107
Incumbent U.S. House Cand- Aid to Blacks Scale,VCF9108
Incumbent U.S. House Cand- Government Services-Spending Scale,VCF9109
Incumbent U.S. House Cand- Guaranteed Jobs and Living Scale,VCF9110
Incumbent U.S. House Cand- Liberal-Conservative Scale,VCF9111
Challenger to Incumbent U.S. House Cand- Women Equal Role Scale,VCF9112
Challenger to Incumbent U.S. House Cand- Aid to Blacks Scale,VCF9113
Challenger to Incumbent U.S. House Cand- Government Services-Spending Scale,VCF9114
Challenger to Incumbent U.S. House Cand- Guaranteed Jobs and Living Scale,VCF9115
Challenger to Incumbent U.S. House Cand- Liberal-Conservative Scale,VCF9116
Federal Government on Cooperation with USSR Scale,VCF9117
Federal Government on Defense Spending Scale,VCF9118
Federal Government on Aid to Blacks Scale,VCF9119
Federal Government on Government Services/Spending Scale,VCF9120
Federal Government on Guaranteed Jobs and Living Scale,VCF9121
Number of Politically Eligible Adults in HH,VCF9122
Number of Pre-Election Interviewer Calls,VCF9123
Number of Post-Election Interviewer Calls,VCF9124
Post-Election Persuasion Letter 1978-2012,VCF9125
Less Government Better OR Government Do More,VCF9131
Govt Handle Economy OR Free Market Can Handle,VCF9132
Govt Too Involved in Things OR Problems Require,VCF9133
More Important to Be Cooperative OR Self-reliant,VCF9134
Election Office Number,VCF9149
R Registration Status (Self-reported),registration_status
R Turnout (Self-reported),turnout_self_report
Attempted Validation of Registration,VCF9152
Status of Office Voting Records,VCF9153
Was R Registration Validated,registration_validated
Was R Vote Validated,vote_validated
CSES: Like-dislike (11pt) scale placement for Democratic party,VCF9201
CSES: Like-dislike (11pt) scale placement for Republican party,VCF9202
CSES: Do any of the parties in the U.S. represent R's view reasonably well,VCF9203
CSES: Which political party is it that represents R's views best,VCF9204
Which party would do a better job handling the nation's economy,party_economy
Better when one party controls both the Presidency and U.S. Congress or when control is split,VCF9206
CSES: Like-dislike (11pt) scale placement for Democratic Presidential candidate,like_Dem_presCandi
CSES: Like-dislike (11pt) scale placement for Republican Presidential candidate,like_Rep_preCandi
"How well does _provides strong leadership_ describe: Democratic Presidential candidate (no RB, 5 cat)",VCF9209
"How well does _really cares about people like you_ describe: Democratic Presidential candidate (no RB, 5 cat)",VCF9210
"How well does _knowledgeable_ describe: Democratic Presidential candidate (no RB, 5 cat)",VCF9211
"How well does _honest_ describe: Democratic Presidential candidate (no RB, 5 cat)",VCF9212
"How well does _provides strong leadership_ describe: Republican Presidential candidate (no RB, 5 cat)",VCF9213
"How well does _really cares about people like you_ describe: Republican Presidential candidate (no RB, 5 cat)",VCF9214
"How well does _knowledgeable_ describe: Republican Presidential candidate (no RB, 5 cat)",VCF9215
"How well does _honest_ describe: Republican Presidential candidate (no RB, 5 cat)",VCF9216
Does R approve or disapprove of the way current U.S. President is handling foreign relations,approve_president_Foreign
Does R approve or disapprove of the way current U.S. President is handling health care,approve_president_health
"Current U.S. President retrospective: U.S. more or less secure, or not changed",VCF9219
"Current U.S. President retrospective (since beginning of term): economy better, worse, or same",VCF9220
CSES: How good or bad a job has the government done in general over the last term of the current administration,VCF9221
Are things in this country on the right track or have things seriously gotten off on the wrong track,VCF9222
How likely is it that recent immigration levels will take jobs away from people already here,VCF9223
Is R invested in the stock market,VCF9224
"Has unemployment in the country gotten better, stayed the same, or gotten worse in the past year",VCF9225
Much or somewhat that the level of unemployment has gotten better/worse,VCF9226
"Does R think the difference in incomes between rich and poor in the U.S. is larger, smaller, or about the same as 20 years ago",VCF9227
Much or somewhat larger/smaller gap in incomes between rich and poor in the U.S. than 20 years ago,VCF9228
"Will unemployment get better, stay the same, or get worse in the next 12 months",VCF9229
"Should the federal government encourage or discourage American companies to replace U.S. workers with foreign workers, or stay out",VCF9230
Does R favor or oppose placing limits on imports to protect American jobs (or haven't you thought much about this),VCF9231
"Does R favor or oppose the U.S. government torturing people who are suspected of being terrorists, to try to get information",VCF9232
How much does R favor/oppose use of U.S. govt torture [of those suspected of being terrorists],VCF9233
Abortion issue placement for Democratic Presidential candidate,VCF9234
Abortion issue placement for Republican Presidential candidate,VCF9235
Does R favor or oppose the death penalty for persons convicted of murder,VCF9236
R strongly or not strongly favor/oppose the death penalty for persons convicted of murder,deathPenaltyAttitude
"Should the government make it more difficult or easier to buy a gun, or should the rules stay the same as they are now",VCF9238
How important is gun control issue to R,howImportantGunControl
CSES: Left-right (11pt) scale placement for R,VCF9240
CSES: Left-right (11pt) scale placement for Democratic party,VCF9241
CSES: Left-right (11pt) scale placement for Republican party,VCF9242
Would R call self a born-again Christian /consider self a born-again Christian / had the deep religious experience described as being born again,bornAgain
How often can R trust people,howOftenTrust
How satisfied is R with R's life,satisfactionLife
Which is more important for a child to have: curiosity or good manners,authoritarian1
Which is more important for a child to have: obedience or self-reliance,authoritarian2
Which is more important for a child to be: considerate or well-behaved,authoritarian3
Which is more important for a child to have: independence or respect for elders,authoritarian4
CSES: Who votes for makes a big diffence - (5pt) scale placement for R,votingMakedifference
How well does R understand the important political issues facing our country,understand_poliIssues
How often do politics and government seem so complicated that R can't really understand what's going on,politics2complicated
CSES: Make big difference who is in power (5pt) scale placement for R,powerDifference
CSES: How satisfied is R with the way democracy works in the U.S. (4cat: satisfied-not at all satisfied),VCF9254
CSES: How satisfied is R with the way democracy works in the U.S. (4cat: very satisfied-not at all satisfied),satisfactionDemocracy
Was R able to devote any time to volunteer work in the last 12 months,volunteer
Has R worked with others to deal with issue in community during the past 12 months,workedWithcommunity
Did R attend a meeting about an issue in community or schools during the past 12 months,meetingCommuntySchool
How often does R follow information about politics and government,follow_political_info
What job or office is held by named Speaker of the U.S. House,VCF9260
What job or office is held by named Vice-President,VCF9261
What job or office is held by named Chief Justice of the U.S. Supreme Court,VCF9262
What was the party of the running candidate to which R gave money,VCF9263
What was the political party to which R gave money,whichParty_gavemoneyto
PRE-ELECTION: Did R vote in the state Presidential primary election or caucus,voted_primary
